funding_goal,collected_amount,avg_revenue,expenses,duration_months,success
65616,52067,3815,1803,10,0
50922,18832,3259,3214,24,1
19869,61266,3234,4652,12,0
74937,69405,9997,3383,28,1
44800,62943,9743,4268,30,1
18027,24932,5196,1331,31,1
52408,54125,4320,270,18,0
30410,50921,3127,1959,14,1
40269,33794,5749,702,30,0
53211,5639,8604,2989,10,0
14891,47582,9982,1909,13,0
87083,32725,1402,2893,22,0
27666,19391,7366,1665,31,1
90312,61649,8177,2549,28,1
31160,40845,2722,424,29,0
15405,30197,9716,4634,34,1
85758,44503,6460,573,34,0
82836,36721,5681,368,18,1
29399,73784,912,4660,7,1
22079,2195,3918,3262,28,1
15259,18548,9061,410,15,1
64215,70694,1691,1999,33,1
24035,43390,6536,1501,15,1
55844,64769,6260,1638,10,1
77376,61960,7351,4037,17,0
94053,33373,6779,2858,10,1
98890,4329,5168,3979,20,1
74296,7819,544,669,17,1
10977,54156,1599,3487,7,0
81587,20288,2161,4965,14,0
56343,79004,6969,2454,8,0
35030,6802,6451,814,14,1
10893,16285,5032,3376,33,0
53827,46302,2962,1586,21,0
27043,38818,6611,2828,11,1
52023,16881,1081,4355,19,0
87924,11059,7989,4354,34,0
17600,69307,5868,224,25,1
47599,79902,3457,4446,25,0
79842,70593,945,3083,19,0
50134,78643,1591,2110,34,1
10562,33718,9159,2354,36,0
19043,17078,9063,4365,13,1
94541,78932,2245,301,31,0
60212,12874,4712,4946,34,1
73849,58618,7177,1406,8,1
28265,68868,5579,721,34,0
35269,76518,6858,1719,19,0
86287,76834,5869,3628,9,0
55824,13664,5225,3203,27,0
32394,54325,7450,4557,33,0
24934,78263,8869,2093,25,0
28449,20848,3956,3487,10,1
46123,66036,4270,1447,12,0
39528,734,1474,2743,31,1
69608,10817,2024,4404,7,1
31136,70074,4729,4521,36,1
34335,32557,8863,1115,33,1
24850,40249,5921,2131,18,0
17420,65257,2314,3983,17,0
64547,41810,2696,1792,9,1
76676,22664,9591,2061,30,0
27016,54289,2907,4902,27,0
77156,6195,2887,462,35,1
40741,59186,2201,1294,13,1
88326,781,9627,3961,16,0
15982,16031,8733,2342,17,0
33511,75956,3810,267,36,0
31120,42977,2884,1963,11,0
39542,71980,7193,4777,16,1
47170,47762,5033,1109,27,0
92029,37351,3028,1784,16,1
36028,63305,3722,1774,13,1
65974,44744,3078,978,29,0
56158,78932,9770,4372,22,0
94337,55882,7437,691,7,0
53475,6479,5469,3688,33,1
89130,54854,4416,3758,24,0
40368,4274,1626,3389,25,1
92145,10201,2236,4281,9,0
99678,19326,9557,4231,30,1
74913,15531,817,4150,32,0
48041,23705,1662,2034,25,0
30942,72198,8304,806,34,0
11490,53221,5376,3459,21,1
35422,18061,6173,2854,35,0
54628,79923,6552,4988,14,0
22015,8426,4847,3116,19,0
35335,2840,2459,4015,13,1
45622,25006,5708,2947,28,1
86508,43598,1935,4398,16,0
66110,51348,5888,4795,26,0
63563,10778,5729,655,22,1
87668,70617,3168,2745,30,0
50004,44953,1920,4147,27,1
61156,75670,957,1939,17,1
75925,21137,3417,4549,13,1
59995,46896,5049,2708,24,0
70420,67212,6417,947,18,0
54830,23969,9408,1656,28,0
30766,63173,2964,1900,29,0
53203,27050,3209,4909,18,1
41959,27417,2497,1578,33,1
37109,29322,6221,3030,29,1
28785,59334,1784,2943,14,1
41321,78230,7457,1954,23,0
26791,70237,7840,3588,23,1
45327,16877,9372,3108,26,0
89360,20512,9251,3601,20,0
94209,11995,8241,4960,18,0
57472,29111,5367,4669,10,1
64648,24799,8807,4595,25,1
12210,70077,4957,2732,16,0
64785,12221,1752,2027,19,1
79520,25487,3826,2745,20,1
45896,56645,6468,2191,21,1
78959,13392,1397,1219,23,0
74926,36030,7707,639,17,1
12424,6924,6628,3480,31,1
94359,4765,729,4368,36,1
94942,60043,8483,1096,32,1
89696,21868,7196,625,33,0
71146,50067,8078,409,17,1
13180,79533,1126,2428,11,1
66569,26865,4520,1798,16,1
15304,43436,4634,3134,20,1
92731,70961,8072,3825,23,0
64411,54547,926,2509,35,1
98583,78813,8239,2294,33,0
18931,56531,3846,1296,34,0
55406,75686,4354,1880,18,0
20305,30774,3418,4271,24,1
72606,2762,7459,1399,25,0
39498,57731,2063,3812,14,1
73455,51799,3878,996,18,1
35549,58037,3732,373,28,1
69506,26985,1542,2699,22,0
43302,48592,8700,964,15,1
76855,19982,1587,1595,20,1
87372,18501,573,1244,9,1
95735,59710,1559,2691,16,0
23493,29879,5363,4676,21,1
90226,70531,3981,2426,24,0
45228,62708,953,504,11,1
38638,18288,9710,4931,14,0
93265,72437,5288,4450,31,1
39606,75876,4423,1430,22,0
80503,21363,9955,1997,35,0
66792,10155,1174,1295,33,1
58716,68300,1859,1587,9,1
41677,78927,4795,1297,25,1
66357,51997,7670,2702,9,0
81070,66152,3398,5000,6,0
28999,5596,1782,3716,14,0
23521,11586,1160,2686,30,0
14837,77366,2618,4047,18,0
59867,79081,3670,3912,22,0
99139,16174,3716,4688,32,0
66575,68309,6295,3687,31,0
10536,4882,7818,1013,24,0
41037,70143,3385,3898,24,0
71572,35502,7473,4119,9,0
17755,75441,1074,1511,27,1
88845,27549,4639,1173,15,1
13454,77487,6378,637,13,1
49302,22654,3841,2679,16,0
15052,9261,1315,4570,35,0
16427,15735,6856,3964,17,1
91886,2715,1054,600,14,0
83377,17143,7349,4456,17,1
99858,479,2883,4366,27,1
43020,52431,1545,4329,22,1
56804,28878,6351,4293,17,1
25267,72945,5050,3942,32,1
86687,4260,2508,813,27,0
93168,33269,5992,3421,32,1
60957,25032,6811,3371,14,1
21763,3539,8384,320,29,0
33715,12380,1918,1834,15,1
70672,13934,595,2535,28,0
33372,77432,4285,3454,36,0
76652,41148,879,2038,10,0
89044,22989,4447,2123,22,0
91505,6819,9146,2544,21,0
37846,66434,4027,4534,24,0
56894,38130,4390,2426,33,1
27941,19900,2586,3851,29,1
64676,61717,6542,310,28,1
18572,2337,1872,4431,23,1
29482,76584,4930,3578,23,1
82128,71077,4323,2921,32,1
32815,51540,6957,4341,32,0
46571,5232,6226,4598,17,1
60840,57603,6130,3028,15,0
10780,55717,3676,2218,11,1
38082,20020,2133,3570,10,0
25046,3505,4767,2100,9,1
69256,73866,5506,2279,13,0
98074,21771,5753,4117,15,1
80627,70516,3397,2391,22,0
50567,33210,1980,1236,15,1
50580,36846,7225,1537,26,1
87617,15288,843,2700,13,0
20488,59058,526,2894,19,0
33766,65147,8461,1435,17,1
97052,78458,4403,4798,34,1
93694,57242,3029,1156,25,1
52289,51519,1043,3888,33,1
38250,19828,3381,2639,30,1
35218,19356,6027,1695,33,1
43983,13065,3925,4721,20,1
11350,79004,3978,2980,10,0
23321,41461,2681,1177,7,0
71894,46347,9640,1742,10,1
31495,74281,7320,362,19,0
60721,39044,9372,843,19,1
36559,14414,9012,4717,26,0
19508,16335,7730,885,33,0
20105,10380,5722,3215,29,0
42758,69648,3196,488,17,1
40078,75197,4639,713,27,1
98004,46515,1950,1175,11,0
42077,63707,2451,266,17,0
58911,46315,4796,3004,11,1
20156,38638,3139,4428,20,0
45109,16204,6582,2998,12,0
21878,40434,4868,3079,34,0
10199,74491,6605,4599,32,1
70501,17080,7020,3398,28,1
43665,25426,3253,1203,6,1
62616,15109,4813,4266,10,0
64033,18320,3712,3465,29,0
52761,32993,4912,603,29,1
74691,75959,7900,4656,14,0
50694,39544,3132,2160,30,1
12025,24771,1607,1980,36,0
84392,57159,8803,1593,28,0
84430,56016,640,1961,25,1
52398,78370,8134,4193,21,0
43422,57414,2061,266,6,0
46212,7930,3528,2471,34,1
93440,5292,8459,2613,25,1
33507,24997,1377,2984,27,1
29584,28127,6615,4608,35,0
74349,35005,3251,2993,18,0
95984,1128,4881,4652,18,0
94436,26840,5221,1163,9,1
90096,25895,2011,4306,10,1
64986,13662,881,4556,34,1
92895,79596,952,1500,29,0
15688,75334,8808,1959,34,0
97457,74568,2512,1509,11,1
22731,38222,3382,4904,25,1
54625,7020,2027,1907,31,0
16838,10878,8339,1125,31,1
45057,13431,8593,4638,31,0
58369,67649,3583,1609,32,0
30109,57534,3462,1286,18,1
80034,57159,5996,4929,16,0
88128,33752,3609,1902,12,0
46465,53898,6368,1845,36,1
97200,11175,6025,1071,8,1
80459,12947,9500,2300,34,1
44604,71313,6430,4088,12,1
33933,76752,1945,3549,28,1
14100,15810,8521,1741,32,0
40604,27344,3883,1043,11,0
84107,50621,9722,3623,30,1
13639,10854,4849,4155,20,1
54795,77290,8949,2666,25,1
69340,21101,7764,3821,32,1
74156,60439,8758,1571,22,0
75569,716,9996,313,11,0
40202,11990,5851,434,13,0
19981,29004,9837,266,26,0
54025,30936,2007,4816,35,0
97540,60396,4861,779,34,1
21746,26740,6911,2788,35,0
55138,66188,3123,3156,21,1
63550,44545,7674,2282,7,1
18252,21740,1303,4040,21,1
93543,31593,7930,2160,8,1
63175,77392,4828,2661,35,0
43642,35019,6554,2450,21,0
72344,61265,5610,4579,27,1
42762,52491,4927,3900,25,0
72724,7733,9057,4531,36,1
47055,21917,3067,4133,22,0
25943,60776,7812,1764,32,1
77955,47306,680,2400,34,1
81078,26861,7122,4580,27,1
88754,48925,3350,3753,26,1
14891,828,1751,4187,32,1
24496,24516,8800,1683,24,1
82777,24297,2432,4353,7,0
38526,15253,9066,3145,20,1
23672,12612,5125,3019,31,0
57711,60463,3697,1076,29,0
26761,17783,2945,695,17,1
63208,47764,3778,631,7,1
83096,36255,5684,2001,14,0
94530,10649,4637,658,32,1
62420,43740,3980,1307,24,1
67336,39647,7927,3284,36,0
31580,31362,3849,669,34,1
98345,35966,2770,2667,17,0
79266,21313,2493,736,34,1
13901,53975,2364,4151,22,0
48605,25996,8366,4367,14,0
47793,75253,8334,4968,13,0
98420,8319,8390,3739,23,1
76218,2920,4095,2372,15,1
93745,70094,6944,3234,19,1
43333,26219,571,606,10,0
65245,27340,6620,4336,32,1
73280,17662,1180,477,23,0
86877,74862,2800,1207,10,1
76009,3015,887,2679,32,1
82965,62557,8956,401,30,0
25634,25969,4775,1153,28,1
45787,5779,5498,1048,20,1
88401,64159,9041,3986,12,0
61244,5258,1455,2361,6,0
76401,42478,4399,4177,29,1
76198,65381,1299,1178,10,1
89932,26897,3025,1930,33,1
72303,64602,662,3516,24,1
46779,32044,7971,3331,11,1
43175,18114,8221,2751,34,0
82784,39463,677,254,17,1
64137,75537,3646,1095,21,1
25783,66216,9186,4578,34,1
68491,409,2932,3316,27,0
88730,34685,5502,1197,28,1
36406,24941,9309,3901,26,0
30928,30013,3388,4556,32,0
83582,56266,6884,2099,36,1
20043,58295,1946,3696,27,1
45573,44775,6872,3733,20,1
73294,43532,7883,1258,23,0
16228,38361,1909,1960,26,1
68129,78508,5169,2556,14,1
30562,56497,8030,1091,15,1
39789,66178,2546,1395,24,1
46048,5238,9213,1984,18,1
96943,53041,896,2127,26,1
97924,58452,8390,2044,9,0
70239,78374,4122,2193,10,1
65789,19207,5651,2022,8,0
19907,44811,9190,636,15,1
24895,31701,7908,2281,35,1
71267,24534,8287,504,29,1
75745,42444,3962,704,26,1
58138,56808,792,2922,27,1
12357,5449,4970,251,33,1
93957,50005,5192,961,15,0
44696,14963,9934,2829,24,0
33044,57970,2247,1034,16,0
95767,6320,9345,2888,12,1
80276,53851,9792,1307,6,1
63078,2350,9130,3654,18,1
60985,68999,845,431,8,0
93311,32332,6853,686,34,0
52292,13808,1574,2299,16,1
58305,13610,6819,2040,27,0
10304,73945,3351,1161,15,1
97683,26156,7874,1477,34,1
98602,74155,9890,3274,7,0
23399,106,4301,3940,34,1
83203,24829,8908,3244,32,1
48229,51716,5117,3988,17,1
42836,5636,2928,1005,22,1
64595,68385,2592,2648,35,0
91733,63943,673,1602,9,0
93509,64996,7897,4531,28,1
67815,18111,6171,2064,8,1
93701,14319,704,4136,23,0
38113,18878,696,1716,35,0
90898,1295,2903,3963,29,0
79103,56161,6485,2751,23,0
23307,29784,1092,4530,22,1
30134,45283,6210,965,17,0
22075,56865,8370,1676,12,1
53685,28208,853,4024,8,1
85951,33899,2694,2769,32,0
83788,32282,7383,4740,16,0
29592,70227,1083,2389,36,0
56822,66530,8296,3708,23,0
27340,63744,3815,1107,18,1
34001,61601,6253,4835,26,1
65657,2451,7093,2185,36,0
41594,39546,8070,3227,12,1
23322,3079,1453,3661,20,1
24130,42457,6661,4226,33,1
34519,36567,1955,2661,27,1
88282,35003,5961,1490,27,1
13909,72963,7549,1869,22,1
36564,78040,4274,3277,13,0
83142,25048,6325,3876,30,1
20786,10116,8977,3571,7,0
11293,51962,4943,4128,14,0
13350,44567,4834,4309,16,0
83793,20084,3208,1041,17,0
70144,62095,4778,744,20,0
98761,21306,8497,1501,32,1
90210,34422,524,1186,32,1
51421,44365,4336,1299,9,0
94031,35419,7191,451,14,0
20582,37983,5655,727,28,1
70840,70986,3647,3389,11,0
36654,49319,5181,2121,27,0
85569,75241,2121,1271,26,1
85532,35607,6972,2751,27,0
83026,41153,7497,2731,27,1
25408,14944,9283,2236,36,1
38479,44220,7464,2036,17,1
39158,66848,7374,4416,9,0
15576,34513,8767,3384,35,0
99246,13146,5889,3304,29,1
13516,57620,7369,2320,6,0
21428,134,1472,3644,20,0
70776,56932,5505,2472,10,0
28460,46907,7315,1982,25,1
94832,61580,8633,510,29,1
36235,43449,3996,258,14,1
65960,24011,9145,1964,35,1
62156,30923,9158,3884,23,1
44853,66759,8724,1181,29,0
70392,61858,9236,4282,7,0
40680,77767,4187,1902,21,1
62748,48258,9716,4159,8,0
78297,59881,1820,2374,25,1
58071,43679,6636,2088,30,1
47711,14946,6503,2414,32,0
96627,33375,9067,3235,30,1
55618,43204,3955,3189,30,0
57561,15702,2119,1376,15,0
38764,53678,4410,1970,7,1
91908,40837,6660,1317,18,0
51173,30758,3616,1434,10,1
73423,79625,7255,3599,17,1
22032,50885,6408,3107,15,0
88942,10194,1722,4853,36,1
34377,40335,6032,2627,14,1
82640,23647,9663,509,24,1
90142,61532,2634,1587,8,0
16576,42687,5662,4261,17,1
69924,72236,5206,850,8,1
90117,51868,7895,1739,19,1
86691,10527,6290,485,12,0
93949,35117,5963,215,25,1
32309,47960,9532,3795,8,0
85528,3349,6564,2888,7,1
80959,20994,528,4616,15,1
56612,52599,7862,2687,21,1
77587,55966,9851,4124,10,1
92365,38296,5428,3384,7,0
90117,44343,1075,4619,36,1
65967,37307,1213,3654,31,0
17997,69413,1720,3443,9,0
26509,16669,4857,4859,14,0
83791,31776,1171,621,16,1
30997,73759,4203,2427,28,0
26278,45783,4849,955,35,1
74011,59644,6797,2334,7,0
23755,78393,8358,611,36,1
74159,45897,9423,3347,26,1
43412,49626,9027,3646,27,1
92217,65721,3766,3106,19,0
46412,73015,8364,1611,32,0
20194,53523,5092,4604,30,1
43391,18077,4498,3056,14,0
32889,2366,5926,928,19,0
39211,879,2665,2531,15,0
62429,19187,2836,3549,25,1
74428,32644,2666,555,18,1
39593,63429,3932,4231,9,0
75092,10588,9998,351,32,0
30548,54036,5593,348,16,0
95929,73484,5469,474,18,1
69219,58407,4856,1305,24,1
82769,23349,9285,1895,29,0
47730,28691,4405,4434,17,1
62464,66040,4986,3122,31,0
97608,33304,6766,1417,8,1
43281,79902,1254,3623,20,0
64504,63236,2261,1474,19,1
30912,40308,7599,4035,15,0
68362,17467,6546,2788,8,1
36590,10794,7138,4448,14,1
42264,33075,9400,3602,21,0
27100,50371,7415,338,10,0
53573,31430,678,3391,11,1
59291,61607,9689,4802,27,0
31499,63065,6177,3682,9,0
11445,70464,9712,3650,29,0
50871,64693,3728,2115,28,1
40544,7992,724,2434,12,0
24718,13725,9741,3204,6,0
73600,57281,6709,2058,19,0
81364,24020,8685,1782,23,1
96264,3355,7934,2316,9,1
87758,23550,5977,272,35,1
78028,889,1347,1713,30,1
89279,5859,8525,1112,7,0
15794,24426,9531,2768,6,1
11101,25004,3140,2272,6,1
84812,9889,1956,4213,21,1
85666,28413,9051,320,17,0
65268,50635,7949,1908,33,0
59624,1217,4237,2170,29,0
35243,22863,4092,3235,9,1
43172,59935,4877,4664,34,0
51692,33829,6101,3845,6,1
12134,2399,9056,4024,16,0
56439,14049,3301,1132,16,1
43204,18324,8702,1887,28,1
93621,11269,1023,3307,18,0
45824,5655,6486,2240,13,0
52999,10764,9670,3096,13,1
48796,40209,6050,2281,10,1
70816,78391,4158,1947,32,0
64031,19075,8147,2616,8,0
33855,79677,4802,393,34,1
59482,9163,3801,4813,35,0
32792,14501,5288,589,35,0
29652,67574,5187,2755,11,1
31387,56386,2247,222,21,1
57054,8520,860,1298,6,0
60589,60516,4217,1985,28,1
45824,350,2701,1527,16,1
88657,49195,3991,3141,30,0
55410,39456,9364,919,13,0
61952,7335,2095,2962,35,1
88337,12777,5684,3666,14,1
63586,11647,1203,2216,26,0
68782,55802,6016,4841,36,0
70232,59112,4163,3547,27,1
16877,25957,4428,1216,34,1
82854,68643,3594,2488,35,0
75681,6366,9005,3801,21,1
80918,3819,3729,1101,13,1
27718,1993,7559,311,36,0
66944,6616,2511,411,34,0
29823,54294,5710,3957,25,0
51901,18621,2521,3465,14,1
55209,40603,1142,4836,30,1
50302,72692,3061,4205,10,0
19159,8146,8442,253,12,1
57839,78685,6196,1118,27,0
43193,35005,9665,4470,10,0
64072,65995,8630,1502,36,1
25871,32408,6771,4801,25,1
97468,7334,2077,3993,9,1
16803,10433,9885,660,25,0
11248,46627,6048,4021,12,1
97216,74843,3626,3478,33,1
37159,69366,7211,1102,14,1
53472,75428,9927,3507,16,0
80365,36506,2927,1182,25,1
49854,541,1451,1171,27,0
39105,16960,567,2786,35,1
74269,39770,9522,2870,30,0
28839,23855,7481,2838,31,1
31065,61767,8888,1473,27,0
27726,2554,6646,2385,20,0
31316,52168,5043,1685,27,1
39730,21862,9311,2909,12,0
60586,55337,7792,2856,19,0
51224,51480,3918,3421,20,0
53857,19476,5322,605,23,1
17247,67690,4067,1109,28,0
30888,49547,8628,2568,17,0
68113,54308,7794,406,17,1
52322,39742,5758,4489,25,1
52590,18437,6125,307,20,1
75657,450,1192,1385,6,1
89054,19265,9839,2679,29,1
34240,68863,8206,4407,15,1
54289,25149,7801,4124,29,1
23908,15088,7676,2129,13,0
63224,25143,9418,671,36,1
40398,41226,3058,1090,8,1
72624,34133,9529,2735,31,0
53637,62682,2643,4810,32,0
14539,18259,1930,2156,6,0
47151,16463,1376,4430,6,1
91636,35634,6549,4677,8,0
24151,17915,5211,2737,33,0
49997,17075,8192,709,27,1
58195,45153,7781,737,28,0
54121,21292,6281,2394,32,1
89625,27516,1934,1464,26,0
51450,32967,6018,1502,9,1
47406,39507,652,1105,36,0
35186,16276,9044,4104,13,1
88026,59729,1252,941,6,0
15678,3094,5790,3720,12,0
14131,5781,7498,1729,36,1
27885,73630,7464,812,29,1
61223,69841,2634,4596,8,1
51062,75768,2362,431,27,0
82472,51879,595,338,33,1
86582,887,3969,4962,32,0
10653,38801,7677,2942,9,0
70678,21865,9371,569,25,0
61674,66122,8649,4524,6,0
11424,77384,4108,1386,8,0
37781,38257,5545,1494,19,1
96226,56829,8400,3937,22,1
88576,77224,4552,3143,35,0
63908,74639,7574,421,25,0
60728,72159,9427,375,12,1
50948,1419,8193,2885,33,0
35724,66415,5533,1833,31,1
41447,59010,8882,2456,7,0
60878,36776,5111,2457,12,1
14613,68962,1007,4656,9,0
10023,45564,8046,1780,30,0
85798,2971,4465,1242,19,1
23136,6661,1686,3489,33,0
89577,59238,6112,4221,19,0
86040,47189,8222,3932,32,0
95430,53525,7703,4613,35,0
86740,19581,4757,3871,11,0
91188,52795,8867,4883,10,1
35107,74250,2991,2487,20,1
79439,27521,3359,1153,6,1
95027,5001,5962,2376,14,1
31753,33980,3903,719,22,0
66584,538,9018,3124,25,1
43330,40709,1537,2135,30,1
54051,3459,6622,1961,30,0
70847,37894,2827,1070,20,1
81103,5497,5616,3529,29,0
59803,59820,6678,1896,21,1
43705,73625,2665,2368,25,0
97983,25558,1895,380,32,0
86106,3926,7040,3719,6,1
51913,34964,9375,3942,22,0
61807,23123,9342,794,17,1
11970,43680,831,647,6,1
10414,63616,8564,1408,7,0
97870,3694,550,1613,35,0
70961,64386,1869,3449,9,0
73390,62469,4201,3713,31,0
96266,10562,5797,4084,15,1
51168,13338,5562,1092,29,1
50887,77735,3759,3384,12,1
42474,19696,4024,4477,11,0
92725,31655,6977,1160,27,1
29977,37471,8986,839,28,0
87638,51150,1435,950,14,0
35425,65625,7055,4578,18,1
98242,755,4442,1988,23,0
36184,66727,3677,1025,6,0
86341,46776,4714,2159,22,0
16801,5229,7903,2053,19,1
62682,60192,9504,1505,35,1
93506,62249,5887,2179,21,1
55037,144,7533,1870,27,1
11904,33059,4329,2438,19,1
43786,35985,1605,1870,16,0
25891,40216,7253,406,34,0
18426,8869,6067,1254,34,1
17715,72599,5615,3115,8,0
43964,67473,4622,2590,28,1
34621,63017,2408,4264,17,1
98354,57246,3907,3416,33,1
44570,29900,4635,3652,26,0
39724,75115,4123,3738,22,0
72233,72297,6656,2109,6,1
85462,61662,537,3781,16,0
19152,10798,6065,2820,26,1
64948,77527,3373,2207,25,1
85035,30517,4234,3554,9,0
17967,62199,8077,2731,10,1
85191,77128,8902,4055,35,1
55324,54508,2862,1633,34,0
96327,52581,8084,260,7,0
24456,15825,964,4495,6,1
82622,76814,7453,1166,15,0
80650,59404,3929,1111,35,0
71863,35105,6464,2973,21,1
37206,66676,2701,604,11,0
80319,56305,9161,4856,11,0
59629,6194,8229,3029,15,1
66657,37852,6782,3470,8,0
83457,3402,5359,1271,19,1
